English,Gujarati
Namaste,નમસ્તે
Good morning,સુપ્રભાત
Good evening,શુભ સાંજ
Goodbye,આવજો
Good wishes,શુભેચ્છાઓ
Pardon me,માફ કરશો
Thank you,આભાર
Sorry,માફ કરશો
you,તમે
name,નામ
My,મારું
Please,કૃપા કરીને
Yes,હા
No,ના
time,સમય
Monday,સોમવાર
Tuesday,મંગળવાર
Wednesday,બુધવાર
Thursday,ગુરુવાર
Friday,શુક્રવાર
Saturday,શનિવાર
Sunday,રવિવાર
uneasiness,બેચેની
terrace   ,ટેરેસ
brightness,તેજ
sharp,તીક્ષ્ણ
perfume,પરફ્યુમ
jealousy,ઈર્ષ્યા
favourable,અનુકૂળ
experience,અનુભવ
attraction,આકર્ષણ
fire,આગ
far,દૂર
modern,આધુનિક
marble,માર્બલ
consolation,આશ્વાસન
hospital,હોસ્પિટલ
brick,ઈંટ
pronunciation,ઉચ્ચારણ
brightness,તેજ
solutions,ઉકેલો
luxury,વૈભવી
suddenly,અચાનક
tools,સાધનો
room,રૂમ
compartment,કમ્પાર્ટમેન્ટ
nagging,સતાવવું
slice,ટુકડા
rubbish,કચરો
hard,કઠણ
student,વિદ્યાર્થી
teacher,શિક્ષક
subject,વિષય
science,વિજ્ઞાન
assembly,એસેમ્બલી
assistant,મદદનીશ
carpenter,સુથાર
order,ઓર્ડર
clever,હોંશિયાર
clever,હોંશિયાર
lawyer,વકીલ
length,લંબાઈ
rectangle,લંબચોરસ
wages,વેતન
chemistry,રસાયણશાસ્ત્ર
secondary school,માધ્યમિક શાળા
paragraph,ફકરો
company,કંપની
journalist,પત્રકાર
accounts,એકાઉન્ટ્સ